label,start_1,stop_1,start_2,stop_2,start_3,stop_3,start_4,stop_4,start_5,stop_5,start_6,stop_6,start_7,stop_7,start_8,stop_8,start_9,stop_9,start_10,stop_10
Slot 1,0,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Slot 2,-1,-1,97,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Slot 3,-1,-1,-1,-1,2,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Slot 4,-1,-1,-1,-1,-1,-1,100,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Slot 5,-1,-1,-1,-1,-1,-1,-1,-1,4,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Slot 6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,52,-1,-1,-1,-1,-1,-1,-1,-1
Slot 7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,130,-1,-1,-1,-1,-1,-1
Slot 8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,250,50,-1,-1,-1,-1
Slot 9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,254,-1,-1
Slot 10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,255
Same intervals for two slots,10,90,10,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Start greater than stop,80,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Overlapping start,-1,-1,20,50,30,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Overlapping stop,-1,-1,-1,-1,30,60,10,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Overlapping slot,-1,-1,-1,-1,-1,-1,-1,-1,20,80,30,50,-1,-1,-1,-1,-1,-1,-1,-1
All slots invalid,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
