label,param_name,param_val,value_type,exp_err
controller_feedback-panel_mode-min,controller_feedback.panel_mode,0,int32_value,Config_invalid_value_error.new
controller_feedback-panel_mode-mid,controller_feedback.panel_mode,1,int32_value,nil
controller_feedback-panel_mode-max,controller_feedback.panel_mode,2,int32_value,nil
controller_feedback-panel_mode-upper,controller_feedback.panel_mode,3,int32_value,Config_invalid_value_error.new
controller_feedback-panel_mode-neg,controller_feedback.panel_mode,-1,int32_value,Config_invalid_value_error.new
controller_feedback-panel_timeout-min,controller_feedback.panel_timeout,1000,int32_value,nil
controller_feedback-panel_timeout-mid,controller_feedback.panel_timeout,3000,int32_value,nil
controller_feedback-panel_timeout-max,controller_feedback.panel_timeout,5000,int32_value,nil
controller_feedback-panel_timeout-high-upper,controller_feedback.panel_timeout,5001,int32_value,Config_invalid_value_error.new
controller_feedback-panel_timeout-low-upper,controller_feedback.panel_timeout,999,int32_value,Config_invalid_value_error.new
controller_feedback-panel_timeout-zero,controller_feedback.panel_timeout,0,int32_value,Config_invalid_value_error.new
controller_feedback-panel_timeout-neg,controller_feedback.panel_timeout,-1,int32_value,Config_invalid_value_error.new
controller_feedback-granted_pulse_width-min,controller_feedback.granted_pulse_width,50,int32_value,nil
controller_feedback-granted_pulse_width-mid,controller_feedback.granted_pulse_width,500,int32_value,nil
controller_feedback-granted_pulse_width-max,controller_feedback.granted_pulse_width,1000,int32_value,nil
controller_feedback-granted_pulse_width-high-upper,controller_feedback.granted_pulse_width,1001,int32_value,Config_invalid_value_error.new
controller_feedback-granted_pulse_width-low-upper,controller_feedback.granted_pulse_width,49,int32_value,Config_invalid_value_error.new
controller_feedback-granted_pulse_width-zero,controller_feedback.granted_pulse_width,0,int32_value,nil
controller_feedback-granted_pulse_width-neg,controller_feedback.granted_pulse_width,-1,int32_value,Config_invalid_value_error.new
controller_feedback-granted_pulse_interval-min,controller_feedback.granted_pulse_interval,50,int32_value,nil
controller_feedback-granted_pulse_interval-mid,controller_feedback.granted_pulse_interval,500,int32_value,nil
controller_feedback-granted_pulse_interval-max,controller_feedback.granted_pulse_interval,1000,int32_value,nil
controller_feedback-granted_pulse_interval-high-upper,controller_feedback.granted_pulse_interval,1001,int32_value,Config_invalid_value_error.new
controller_feedback-granted_pulse_interval-low-upper,controller_feedback.granted_pulse_interval,49,int32_value,Config_invalid_value_error.new
controller_feedback-granted_pulse_interval-zero,controller_feedback.granted_pulse_interval,0,int32_value,nil
controller_feedback-granted_pulse_interval-neg,controller_feedback.granted_pulse_interval,-1,int32_value,Config_invalid_value_error.new
controller_feedback-denied_pulse_width-min,controller_feedback.denied_pulse_width,50,int32_value,nil
controller_feedback-denied_pulse_width-mid,controller_feedback.denied_pulse_width,500,int32_value,nil
controller_feedback-denied_pulse_width-max,controller_feedback.denied_pulse_width,1000,int32_value,nil
controller_feedback-denied_pulse_width-high-upper,controller_feedback.denied_pulse_width,1001,int32_value,Config_invalid_value_error.new
controller_feedback-denied_pulse_width-low-upper,controller_feedback.denied_pulse_width,49,int32_value,Config_invalid_value_error.new
controller_feedback-denied_pulse_width-zero,controller_feedback.denied_pulse_width,0,int32_value,nil
controller_feedback-denied_pulse_width-neg,controller_feedback.denied_pulse_width,-1,int32_value,nil
controller_feedback-denied_pulse_interval-min,controller_feedback.denied_pulse_interval,50,int32_value,nil
controller_feedback-denied_pulse_interval-mid,controller_feedback.denied_pulse_interval,500,int32_value,nil
controller_feedback-denied_pulse_interval-max,controller_feedback.denied_pulse_interval,1000,int32_value,nil
