label,param_name,param_val,value_type,exp_err
bio_sec-matching_threshold-min,bio_security_settings.matching_threshold,1,int32_value,nil
bio_sec-matching_threshold-mid,bio_security_settings.matching_threshold,6,int32_value,nil
bio_sec-matching_threshold-max,bio_security_settings.matching_threshold,10,int32_value,nil
bio_sec-matching_threshold-upper,bio_security_settings.matching_threshold,11,int32_value,Config_invalid_value_error.new
bio_sec-matching_threshold-neg,bio_security_settings.matching_threshold,-1,int32_value,Config_invalid_value_error.new
bio_sec-matching_threshold-zero,bio_security_settings.matching_threshold,0,int32_value,Config_invalid_value_error.new
bio_sec-ffd_security_level-min,bio_security_settings.ffd_security_level,0,int32_value,nil
bio_sec-ffd_security_level-mid,bio_security_settings.ffd_security_level,1,int32_value,nil
bio_sec-ffd_security_level-max,bio_security_settings.ffd_security_level,2,int32_value,nil
bio_sec-ffd_security_level-upper,bio_security_settings.ffd_security_level,5,int32_value,Config_invalid_value_error.new
bio_sec-ffd_security_level-neg,bio_security_settings.ffd_security_level,-1,int32_value,Config_invalid_value_error.new
auth_param-additional_pin_check_nb_attempt-min,auth_param.additional_pin_check_nb_attempt,1,int32_value,nil
auth_param-additional_pin_check_nb_attempt-max,auth_param.additional_pin_check_nb_attempt,2,int32_value,nil
auth_param-additional_pin_check_nb_attempt-upper,auth_param.additional_pin_check_nb_attempt,3,int32_value,Config_invalid_value_error.new
auth_param-additional_pin_check_nb_attempt-neg,auth_param.additional_pin_check_nb_attempt,-1,int32_value,Config_invalid_value_error.new
auth_param-additional_pin_check_nb_attempt-zero,auth_param.additional_pin_check_nb_attempt,0,int32_value,Config_invalid_value_error.new
auth_param-additional_pin_check_timeout-min,auth_param.additional_pin_check_timeout,3,int32_value,nil
auth_param-additional_pin_check_timeout-mid,auth_param.additional_pin_check_timeout,7,int32_value,nil
auth_param-additional_pin_check_timeout-max,auth_param.additional_pin_check_timeout,15,int32_value,nil
auth_param-additional_pin_check_timeout-upper_min,auth_param.additional_pin_check_timeout,2,int32_value,Config_invalid_value_error.new
auth_param-additional_pin_check_timeout-upper_max,auth_param.additional_pin_check_timeout,16,int32_value,Config_invalid_value_error.new
auth_param-additional_pin_check_timeout-zero,auth_param.additional_pin_check_timeout,0,int32_value,Config_invalid_value_error.new
auth_param-additional_pin_check_timeout-neg,auth_param.additional_pin_check_timeout,-1,int32_value,Config_invalid_value_error.new
auth_param-additional_bio_check_nb_attempt-min,auth_param.additional_bio_check_nb_attempt,1,int32_value,nil
auth_param-additional_bio_check_nb_attempt-max,auth_param.additional_bio_check_nb_attempt,2,int32_value,nil
auth_param-additional_bio_check_nb_attempt-upper,auth_param.additional_bio_check_nb_attempt,4,int32_value,Config_invalid_value_error.new
auth_param-additional_bio_check_nb_attempt-neg,auth_param.additional_bio_check_nb_attempt,-1,int32_value,Config_invalid_value_error.new
auth_param-additional_bio_check_nb_attempt-zero,auth_param.additional_bio_check_nb_attempt,0,int32_value,Config_invalid_value_error.new
auth_param-additional_bio_check_timeout-min,auth_param.additional_bio_check_timeout,2,int32_value,nil
auth_param-additional_bio_check_timeout-mid,auth_param.additional_bio_check_timeout,7,int32_value,nil
auth_param-additional_bio_check_timeout-max,auth_param.additional_bio_check_timeout,60,int32_value,nil
auth_param-additional_bio_check_timeout-upper_min,auth_param.additional_bio_check_timeout,1,int32_value,Config_invalid_value_error.new
auth_param-additional_bio_check_timeout-upper_max,auth_param.additional_bio_check_timeout,61,int32_value,Config_invalid_value_error.new
auth_param-additional_bio_check_timeout-zero,auth_param.additional_bio_check_timeout,0,int32_value,Config_invalid_value_error.new
auth_param-additional_bio_check_timeout-neg,auth_param.additional_bio_check_timeout,-1,int32_value,Config_invalid_value_error.new
enroll-acquisition_threshold-min,enroll.acquisition_threshold,20,int32_value,nil
enroll-acquisition_threshold-mid,enroll.acquisition_threshold,60,int32_value,nil
enroll-acquisition_threshold-max,enroll.acquisition_threshold,100,int32_value,nil
enroll-acquisition_threshold-upper_min,enroll.acquisition_threshold,19,int32_value,Config_invalid_value_error.new
enroll-acquisition_threshold-upper_max,enroll.acquisition_threshold,101,int32_value,Config_invalid_value_error.new
enroll-acquisition_threshold-zero,enroll.acquisition_threshold,0,int32_value,Config_invalid_value_error.new
enroll-acquisition_threshold-neg,enroll.acquisition_threshold,-1,int32_value,Config_invalid_value_error.new
