label,param_name,param_val,value_type,exp_err
in_channel-SSL_conn_mode-min,in_channel.SSL_conn_mode,0,int32_value,nil
in_channel-SSL_conn_mode-max,in_channel.SSL_conn_mode,1,int32_value,nil
in_channel-SSL_conn_mode-upper,in_channel.SSL_conn_mode,2,int32_value,Config_invalid_value_error.new
in_channel-SSL_conn_mode-neg,in_channel.SSL_conn_mode,-1,int32_value,Config_invalid_value_error.new
in_channel-profile_id-min,in_channel.profile_id,0,int32_value,nil
in_channel-profile_id-max,in_channel.profile_id,1,int32_value,nil
in_channel-profile_id-upper,in_channel.profile_id,2,int32_value,Config_invalid_value_error.new
in_channel-profile_id-neg,in_channel.profile_id,-1,int32_value,Config_invalid_value_error.new
out_channel-profile_id-min,out_channel.profile_id,0,int32_value,nil
out_channel-profile_id-max,out_channel.profile_id,1,int32_value,nil
out_channel-profile_id-upper,out_channel.profile_id,2,int32_value,Config_invalid_value_error.new
out_channel-profile_id-neg,out_channel.profile_id,-1,int32_value,Config_invalid_value_error.new
SSL_profile_0-protocol_version-sslv2,SSL_profile_0.protocol_version,0,int32_value,nil
SSL_profile_0-protocol_version-sslv3,SSL_profile_0.protocol_version,3,int32_value,nil
SSL_profile_0-protocol_version-tls,SSL_profile_0.protocol_version,6,int32_value,nil
SSL_profile_0-protocol_version-sslv23,SSL_profile_0.protocol_version,9,int32_value,nil
SSL_profile_0-protocol_version-one,SSL_profile_0.protocol_version,1,int32_value,Config_invalid_value_error.new
SSL_profile_0-protocol_version-ten,SSL_profile_0.protocol_version,10,int32_value,Config_invalid_value_error.new
SSL_profile_0-protocol_version-neg,SSL_profile_0.protocol_version,-1,int32_value,Config_invalid_value_error.new
SSL_profile_0-cipher_list-min,SSL_profile_0.cipher_list,1,int32_value,nil
SSL_profile_0-cipher_list-mid,SSL_profile_0.cipher_list,255,int32_value,nil
SSL_profile_0-cipher_list-max,SSL_profile_0.cipher_list,511,int32_value,nil
SSL_profile_0-cipher_list-upper,SSL_profile_0.cipher_list,512,int32_value,Config_invalid_value_error.new
SSL_profile_0-cipher_list-neg,SSL_profile_0.cipher_list,-1,int32_value,Config_invalid_value_error.new
SSL_profile_0-name-min,SSL_profile_0.name,"",UTF8string_value,nil
SSL_profile_0-name-mid,SSL_profile_0.name,1234567890ABCDEFGHIJ,UTF8string_value,nil
SSL_profile_0-name-max,SSL_profile_0.name,1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZ1234,UTF8string_value,nil
SSL_profile_0-name-upper,SSL_profile_0.name,1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZ12345,UTF8string_value,Config_invalid_value_error.new
SSL_profile_0-name-garbage,SSL_profile_0.name,@$%^*&,UTF8string_value,nil
SSL_profile_1-protocol_version-sslv2,SSL_profile_1.protocol_version,0,int32_value,nil
SSL_profile_1-protocol_version-sslv3,SSL_profile_1.protocol_version,3,int32_value,nil
SSL_profile_1-protocol_version-tls,SSL_profile_1.protocol_version,6,int32_value,nil
SSL_profile_1-protocol_version-sslv23,SSL_profile_1.protocol_version,9,int32_value,nil
SSL_profile_1-protocol_version-one,SSL_profile_1.protocol_version,1,int32_value,Config_invalid_value_error.new
SSL_profile_1-protocol_version-ten,SSL_profile_1.protocol_version,10,int32_value,Config_invalid_value_error.new
SSL_profile_1-protocol_version-neg,SSL_profile_1.protocol_version,-1,int32_value,Config_invalid_value_error.new
SSL_profile_1-cipher_list-min,SSL_profile_1.cipher_list,1,int32_value,nil
SSL_profile_1-cipher_list-mid,SSL_profile_1.cipher_list,365,int32_value,nil
SSL_profile_1-cipher_list-max,SSL_profile_1.cipher_list,511,int32_value,nil
SSL_profile_1-cipher_list-upper,SSL_profile_1.cipher_list,512,int32_value,Config_invalid_value_error.new
SSL_profile_1-cipher_list-neg,SSL_profile_1.cipher_list,-1,int32_value,Config_invalid_value_error.new
SSL_profile_1-name-min,SSL_profile_1.name,"",UTF8string_value,nil
SSL_profile_1-name-mid,SSL_profile_1.name,1234567890ABCDEFGHIJ,UTF8string_value,nil
SSL_profile_1-name-max,SSL_profile_1.name,1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZ1234,UTF8string_value,nil
SSL_profile_1-name-upper,SSL_profile_1.name,1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZ12345,UTF8string_value,Config_invalid_value_error.new
SSL_profile_1-name-garbage,SSL_profile_1.name,@$%^*&,UTF8string_value,nil
ip_rstrn-mode-min,ip_restraining.mode,0,int32_value,nil
ip_rstrn-mode-max,ip_restraining.mode,1,int32_value,nil
ip_rstrn-mode-upper,ip_restraining.mode,2,int32_value,Config_invalid_value_error.new
ip_rstrn-mode-neg,ip_restraining.mode,-1,int32_value,Config_invalid_value_error.new
ntp_server-primary_ip-min,NTP_server.primary_ip_address,0.0.0.1,UTF8string_value,nil
ntp_server-primary_ip-mid,NTP_server.primary_ip_address,10.10.10.10,UTF8string_value,nil
ntp_server-primary_ip-max,NTP_server.primary_ip_address,223.255.255.255,UTF8string_value,nil
ntp_server-primary_ip-zero,NTP_server.primary_ip_address,0.0.0.0,UTF8string_value,Config_invalid_value_error.new
ntp_server-primary_ip-upper,NTP_server.primary_ip_address,255.255.255.256,UTF8string_value,"Generic_error.new"
ntp_server-primary_ip-validlen,NTP_server.primary_ip_address,200.200.200.201,UTF8string_value,nil
ntp_server-primary_ip-invalid,NTP_server.primary_ip_address,10.256.10.256,UTF8string_value,"Generic_error.new"
ntp_server-primary_ip-neg,NTP_server.primary_ip_address,-1.1.1.1,UTF8string_value,"Generic_error.new"
ntp_server-primary_ip-blank,NTP_server.primary_ip_address,"",UTF8string_value,nil
ntp_server-primary_ip-invalid_str,NTP_server.primary_ip_address,UnknownString!@#$,UTF8string_value,"Generic_error.new"
ntp_server-secondary_ip-min,NTP_server.secondary_ip_address,0.0.0.1,UTF8string_value,nil
ntp_server-secondary_ip-mid,NTP_server.secondary_ip_address,10.10.10.10,UTF8string_value,nil
ntp_server-secondary_ip-max,NTP_server.secondary_ip_address,223.255.255.255,UTF8string_value,nil
ntp_server-secondary_ip-zero,NTP_server.secondary_ip_address,0.0.0.0,UTF8string_value,Config_invalid_value_error.new
ntp_server-secondary_ip-upper,NTP_server.secondary_ip_address,255.255.255.256,UTF8string_value,"Generic_error.new"
ntp_server-secondary_ip-validlen,NTP_server.secondary_ip_address,200.200.200.201,UTF8string_value,nil
ntp_server-secondary_ip-invalid,NTP_server.secondary_ip_address,10.256.10.256,UTF8string_value,"Generic_error.new"
ntp_server-secondary_ip-neg,NTP_server.secondary_ip_address,-1.1.1.1,UTF8string_value,"Generic_error.new"
ntp_server-secondary_ip-blank,NTP_server.secondary_ip_address,"",UTF8string_value,nil
ntp_server-secondary_ip-invalid_str,NTP_server.secondary_ip_address,UnknownString!@#$,UTF8string_value,"Generic_error.new"
remote_msg_ip_conf-mode-min,remote_msg_ip_conf.mode,0,int32_value,nil
remote_msg_ip_conf-mode-mid,remote_msg_ip_conf.mode,1,int32_value,nil
remote_msg_ip_conf-mode-max,remote_msg_ip_conf.mode,2,int32_value,nil
remote_msg_ip_conf-mode-upper,remote_msg_ip_conf.mode,3,int32_value,Config_invalid_value_error.new
remote_msg_ip_conf-mode-neg,remote_msg_ip_conf.mode,-1,int32_value,Config_invalid_value_error.new
remote_msg_ip_conf-host_on_no_response-min,remote_msg_ip_conf.host_on_no_response,0,int32_value,nil
remote_msg_ip_conf-host_on_no_response-max,remote_msg_ip_conf.host_on_no_response,1,int32_value,nil
remote_msg_ip_conf-host_on_no_response-upper,remote_msg_ip_conf.host_on_no_response,2,int32_value,Config_invalid_value_error.new
remote_msg_ip_conf-host_on_no_response-neg,remote_msg_ip_conf.host_on_no_response,-1,int32_value,Config_invalid_value_error.new
remote_msg_ip_conf-host_1_ip-min,remote_msg_ip_conf.host_1_ip,0.0.0.1,UTF8string_value,nil
remote_msg_ip_conf-host_1_ip-mid,remote_msg_ip_conf.host_1_ip,10.99.11.233,UTF8string_value,nil
remote_msg_ip_conf-host_1_ip-max,remote_msg_ip_conf.host_1_ip,223.255.255.255,UTF8string_value,nil
remote_msg_ip_conf-host_1_ip-upper,remote_msg_ip_conf.host_1_ip,255.255.255.256,UTF8string_value,"Generic_error.new"
remote_msg_ip_conf-host_1_ip-zero,remote_msg_ip_conf.host_1_ip,0.0.0.0,UTF8string_value,Config_invalid_value_error.new
remote_msg_ip_conf-host_1_ip-garbage,remote_msg_ip_conf.host_1_ip,@$%^&*,UTF8string_value,"Generic_error.new"
remote_msg_ip_conf-host_1_port-min,remote_msg_ip_conf.host_1_port,1,int32_value,nil
remote_msg_ip_conf-host_1_port-mid,remote_msg_ip_conf.host_1_port,32500,int32_value,nil
remote_msg_ip_conf-host_1_port-max,remote_msg_ip_conf.host_1_port,65000,int32_value,nil
remote_msg_ip_conf-host_1_port-upper,remote_msg_ip_conf.host_1_port,65001,int32_value,Config_invalid_value_error.new
remote_msg_ip_conf-host_1_port-neg,remote_msg_ip_conf.host_1_port,-1,int32_value,Config_invalid_value_error.new
remote_msg_ip_conf-host_1_port-zero,remote_msg_ip_conf.host_1_port,0,int32_value,Config_invalid_value_error.new
