label,param_name,param_val,value_type,exp_err
in_channel-primary_port-1,in_channel.primary_port,1,int32_value,nil
in_channel-primary_port-2,in_channel.primary_port,2,int32_value,nil
in_channel-primary_port-13,in_channel.primary_port,13,int32_value,nil
in_channel-primary_port-14,in_channel.primary_port,14,int32_value,nil
in_channel-primary_port-125,in_channel.primary_port,125,int32_value,nil
in_channel-primary_port-126,in_channel.primary_port,126,int32_value,nil
in_channel-primary_port-1080,in_channel.primary_port,1080,int32_value,nil
in_channel-primary_port-1081,in_channel.primary_port,1081,int32_value,nil
in_channel-primary_port-2050,in_channel.primary_port,2050,int32_value,nil
in_channel-primary_port-3050,in_channel.primary_port,3050,int32_value,nil
in_channel-primary_port-8080,in_channel.primary_port,8080,int32_value,nil
in_channel-primary_port-8081,in_channel.primary_port,8081,int32_value,nil
in_channel-primary_port-8999,in_channel.primary_port,8999,int32_value,nil
in_channel-primary_port-9000,in_channel.primary_port,9000,int32_value,nil
in_channel-primary_port-32000,in_channel.primary_port,32000,int32_value,nil
in_channel-primary_port-65534,in_channel.primary_port,65534,int32_value,nil
in_channel-primary_port-65535,in_channel.primary_port,65535,int32_value,nil
in_channel-primary_port-upper_max,in_channel.primary_port,65536,int32_value,Config_invalid_value_error.new
in_channel-primary_port-neg,in_channel.primary_port,-1,int32_value,Config_invalid_value_error.new
in_channel-secondary_port-1,in_channel.secondary_port,1,int32_value,nil
in_channel-secondary_port-2,in_channel.secondary_port,2,int32_value,nil
in_channel-secondary_port-3,in_channel.secondary_port,3,int32_value,nil
in_channel-secondary_port-4,in_channel.secondary_port,4,int32_value,nil
in_channel-secondary_port-9000,in_channel.secondary_port,9000,int32_value,nil
in_channel-secondary_port-32000,in_channel.secondary_port,32000,int32_value,nil
in_channel-secondary_port-65535,in_channel.secondary_port,65535,int32_value,nil
in_channel-secondary_port-upper_max,in_channel.secondary_port,65536,int32_value,Config_invalid_value_error.new
in_channel-secondary_port-zero,in_channel.secondary_port,0,int32_value,nil
in_channel-secondary_port-neg,in_channel.secondary_port,-1,int32_value,Config_invalid_value_error.new
