label,param_name,param_val,value_type,exp_err
gpio-threat_level_mode-mid,gpio.threat_level_mode,1,int32_value,nil
gpio-threat_level_mode-max,gpio.threat_level_mode,2,int32_value,nil
gpio-threat_level_mode-upper,gpio.threat_level_mode,3,int32_value,Config_invalid_value_error.new
gpio-threat_level_mode-neg,gpio.threat_level_mode,-1,int32_value,Config_invalid_value_error.new
gpio-func_mode-min,gpio.func_mode,0,int32_value,nil
gpio-func_mode-max,gpio.func_mode,2,int32_value,nil
gpio-threat_level_mode-min,gpio.threat_level_mode,0,int32_value,nil
gpio-func_mode-mid,gpio.func_mode,1,int32_value,nil
gpio-func_mode-upper,gpio.func_mode,3,int32_value,Config_invalid_value_error.new
gpio-func_mode-neg,gpio.func_mode,-1,int32_value,Config_invalid_value_error.new
gpio-cmd_based_active_threat_level-min,gpio.cmd_based_active_threat_level,0,int32_value,nil
gpio-cmd_based_active_threat_level-mid,gpio.cmd_based_active_threat_level,1,int32_value,nil
gpio-cmd_based_active_threat_level-max,gpio.cmd_based_active_threat_level,3,int32_value,nil
gpio-cmd_based_active_threat_level-upper,gpio.func_mode,4,int32_value,Config_invalid_value_error.new
gpio-cmd_based_active_threat_level-neg,gpio.func_mode,-1,int32_value,Config_invalid_value_error.new
gpio-sdac_relay_default_state-min,gpio.sdac_relay_default_state,0,int32_value,nil
gpio-sdac_relay_default_state-max,gpio.sdac_relay_default_state,1,int32_value,nil
gpio-sdac_relay_default_state-upper,gpio.sdac_relay_default_state,2,int32_value,Config_invalid_value_error.new
gpio-sdac_relay_default_state-neg,gpio.sdac_relay_default_state,-1,int32_value,Config_invalid_value_error.new
gpio-sdac_door_unlock_dur-min,gpio.sdac_door_unlock_dur,2,int32_value,nil
gpio-sdac_door_unlock_dur-mid,gpio.sdac_door_unlock_dur,30,int32_value,nil
gpio-sdac_door_unlock_dur-max,gpio.sdac_door_unlock_dur,60,int32_value,nil
gpio-sdac_door_unlock_dur-upper,gpio.sdac_door_unlock_dur,61,int32_value,Config_invalid_value_error.new
gpio-sdac_door_unlock_dur-zero,gpio.sdac_door_unlock_dur,0,int32_value,Config_invalid_value_error.new
gpio-sdac_door_unlock_dur-neg,gpio.sdac_door_unlock_dur,-1,int32_value,Config_invalid_value_error.new
