label,param_name,param_val,value_type,exp_err
tam-status-valid,tamper.status,0,int32_value,Config_inexistent_parameter_error.new
gpio-gpi_max_index-min,gpio.gpi_max_index,1,int32_value,Config_inexistent_parameter_error.new
gpio-gpi_id-mid,gpio.gpi_id,2147483647,int32_value,Config_inexistent_parameter_error.new
gpio-gpi_multi_signal_time-mid,gpio.gpi_multi_signal_time,8000,int32_value,Config_inexistent_parameter_error.new
gpio-access_rule_priority_1-valid,gpio.access_rule_priority_1,1,int32_value,Config_inexistent_parameter_error.new
gpio-access_rule_priority_2-valid,gpio.access_rule_priority_2,1,int32_value,Config_inexistent_parameter_error.new
misc-real_time_mon-valid,misc.real_time_mon,0,int32_value,Config_inexistent_parameter_error.new
jobcode-jobcode_list_count-mid,jobcode.jobcode_list_count,64,int32_value,Config_inexistent_parameter_error.new
jobcode-jobcode_per_list-mid,jobcode.jobcode_per_list,256,int32_value,Config_inexistent_parameter_error.new
access_schedule-settings_offset-valid,access_schedule.settings_offset,0,int32_value,Config_inexistent_parameter_error.new
access_schedule-data-valid,access_schedule.data,\x12\x34\x56\x78,UTF8string_value,Config_inexistent_parameter_error.new
access_schedule-names-valid,access_schedule.names,\x12\x34\x56\x78,UTF8string_value,Config_inexistent_parameter_error.new
holiday_schedule-L1_data-valid,holiday_schedule.L1_data,\x12\x34\x56\x78,UTF8string_value,Config_inexistent_parameter_error.new
holiday_schedule-L1_names-valid,holiday_schedule.L1_names,\x12\x34\x56\x78,UTF8string_value,Config_inexistent_parameter_error.new
holiday_schedule-MA5G_data-valid,holiday_schedule.MA5G_data,\x12\x34\x56\x78,UTF8string_value,Config_inexistent_parameter_error.new
holiday_schedule-MA5G_names-valid,holiday_schedule.MA5G_names,\x12\x34\x56\x78,UTF8string_value,Config_inexistent_parameter_error.new
biometric_schedule-data-valid,biometric_schedule.data,\x12\x34\x56\x78,UTF8string_value,Config_inexistent_parameter_error.new
date_time-24_hour_format-valid,date_time_settings.24_hour_format,0,int32_value,Config_inexistent_parameter_error.new
date_time-observe_daylight_savings-valid,date_time_settings.observe_daylight_savings,0,int32_value,Config_inexistent_parameter_error.new
date_time-time_format-valid,date_time_settings.time_format,0,int32_value,Config_inexistent_parameter_error.new
date_time-date_format-valid,date_time_settings.date_format,0,int32_value,Config_inexistent_parameter_error.new
date_time-predef_zone-valid,date_time_settings.predefined_zone,Europe/Paris,UTF8string_value,Config_inexistent_parameter_error.new
date_time-gmt_differential-valid,date_time_settings.gmt_differential,-48,int32_value,Config_inexistent_parameter_error.new
date_time-end_time-valid,date_time_settings.end_time,0,int32_value,Config_inexistent_parameter_error.new
date_time-start_time-valid,date_time_settings.start_time,0,int32_value,Config_inexistent_parameter_error.new
date_time-local_or_ut-valid,date_time_settings.local_or_ut,1,int32_value,Config_inexistent_parameter_error.new
date_time-start_month-valid,date_time_settings.start_month,1,int32_value,Config_inexistent_parameter_error.new
date_time-start_wday-valid,date_time_settings.start_wday,0,int32_value,Config_inexistent_parameter_error.new
date_time-start_week-valid,date_time_settings.start_week,1,int32_value,Config_inexistent_parameter_error.new
date_time-end_month-valid,date_time_settings.end_month,1,int32_value,Config_inexistent_parameter_error.new
date_time-end_wday-valid,date_time_settings.end_wday,0,int32_value,Config_inexistent_parameter_error.new
date_time-end_week-valid,date_time_settings.end_week,1,int32_value,Config_inexistent_parameter_error.new
serial_comm-protocol_char_size-valid,serial_comm.protocol_char_size,8,int32_value,Config_inexistent_parameter_error.new
serial_comm-protocol_parity-valid,serial_comm.protocol_parity,1,int32_value,Config_inexistent_parameter_error.new
ip_rstrn-ip_v4_list-valid,ip_restraining.ip_v4_list,AA==,UTF8string_value,Config_inexistent_parameter_error.new
ip_rstrn-ip_v4_range-valid,ip_restraining.ip_v4_range,AA==,UTF8string_value,Config_inexistent_parameter_error.new
ip_rstrn-ip_v6_list-valid,ip_restraining.ip_v6_list,AA==,UTF8string_value,Config_inexistent_parameter_error.new
ip_rstrn-ip_v6_range-valid,ip_restraining.ip_v6_range,AA==,UTF8string_value,Config_inexistent_parameter_error.new
aux_port-input_port_status-valid,aux_port.input_port_status,0,int32_value,Config_inexistent_parameter_error.new
