label,param_name,param_val,value_type,exp_err
sc_l1_desfire-fid-min,sc_l1_desfire.fid,0,int32_value,nil
sc_l1_desfire-fid-mid,sc_l1_desfire.fid,8,int32_value,nil
sc_l1_desfire-fid-max,sc_l1_desfire.fid,31,int32_value,nil
sc_l1_desfire-fid-upper,sc_l1_desfire.fid,32,int32_value,Config_invalid_value_error.new
sc_l1_desfire-fid-neg,sc_l1_desfire.fid,-1,int32_value,Config_invalid_value_error.new
sc_l1_desfire-aid-min,sc_l1_desfire.aid,0,int32_value,nil
sc_l1_desfire-aid-min,sc_l1_desfire.aid,8388607,int32_value,nil
sc_l1_desfire-aid-max,sc_l1_desfire.aid,16777215,int32_value,nil
sc_l1_desfire-aid-upper,sc_l1_desfire.aid,16777216,int32_value,Config_invalid_value_error.new
sc_l1_desfire-aid-neg,sc_l1_desfire.aid,-1,int32_value,Config_invalid_value_error.new
sc_tlv_desfire-fid-min,sc_tlv_desfire.fid,0,int32_value,nil
sc_tlv_desfire-fid-mid,sc_tlv_desfire.fid,8,int32_value,nil
sc_tlv_desfire-fid-max,sc_tlv_desfire.fid,31,int32_value,nil
sc_tlv_desfire-fid-upper,sc_tlv_desfire.fid,32,int32_value,Config_invalid_value_error.new
sc_tlv_desfire-fid-neg,sc_tlv_desfire.fid,-1,int32_value,Config_invalid_value_error.new
sc_tlv_desfire-aid-min,sc_tlv_desfire.aid,0,int32_value,nil
sc_tlv_desfire-aid-min,sc_tlv_desfire.aid,8388607,int32_value,nil
sc_tlv_desfire-aid-max,sc_tlv_desfire.aid,16777215,int32_value,nil
sc_tlv_desfire-aid-upper,sc_tlv_desfire.aid,16777216,int32_value,Config_invalid_value_error.new
sc_tlv_desfire-aid-neg,sc_tlv_desfire.aid,-1,int32_value,Config_invalid_value_error.new
sc_l1_iclass-page_offset-min,sc_l1_iclass.page_offset,0,int32_value,nil
sc_l1_iclass-page_offset-mid,sc_l1_iclass.page_offset,127,int32_value,nil
sc_l1_iclass-page_offset-max,sc_l1_iclass.page_offset,255,int32_value,nil
sc_l1_iclass-page_offset-upper,sc_l1_iclass.page_offset,256,int32_value,Config_invalid_value_error.new
sc_l1_iclass-page_offset-neg,sc_l1_iclass.page_offset,-1,int32_value,Config_invalid_value_error.new
sc_l1_iclass-page_layout-min,sc_l1_iclass.page_layout,0,int32_value,nil
sc_l1_iclass-page_layout-min,sc_l1_iclass.page_layout,8388607,int32_value,nil
sc_l1_iclass-page_layout-max,sc_l1_iclass.page_layout,16777215,int32_value,nil
sc_l1_iclass-page_layout-upper,sc_l1_iclass.page_layout,16777216,int32_value,Config_invalid_value_error.new
sc_l1_iclass-page_layout-neg,sc_l1_iclass.page_layout,-1,int32_value,Config_invalid_value_error.new
sc_l1_iclass-book_number-min,sc_l1_iclass.book_number,0,int32_value,nil
