label,param_name,param_val,value_type,exp_err
tam-state-mid,tamper.state,1,int32_value,nil
tam-state-max,tamper.state,2,int32_value,nil
tam-state-min,tamper.state,0,int32_value,nil
tam-state-upper,tamper.state,3,int32_value,Config_invalid_value_error.new
tam-state-neg,tamper.state,-1,int32_value,Config_invalid_value_error.new
tam-action_auth_iden-min,tamper.action_auth_iden,0,int32_value,nil
tam-action_auth_iden-max,tamper.action_auth_iden,1,int32_value,nil
tam-action_auth_iden-upper,tamper.action_auth_iden,2,int32_value,Config_invalid_value_error.new
tam-action_auth_iden-neg,tamper.action_auth_iden,-1,int32_value,Config_invalid_value_error.new
tam-action_play_mmi-min,tamper.action_play_mmi,0,int32_value,nil
tam-action_play_mmi-max,tamper.action_play_mmi,1,int32_value,nil
tam-action_play_mmi-upper,tamper.action_play_mmi,2,int32_value,Config_invalid_value_error.new
tam-action_play_mmi-neg,tamper.action_play_mmi,-1,int32_value,Config_invalid_value_error.new
tam-action_erase_biometrics-min,tamper.action_erase_biometrics,0,int32_value,nil
tam-action_erase_biometrics-max,tamper.action_erase_biometrics,1,int32_value,nil
tam-action_erase_biometrics-upper,tamper.action_erase_biometrics,2,int32_value,Config_invalid_value_error.new
tam-action_erase_biometrics-neg,tamper.action_erase_biometrics,-1,int32_value,Config_invalid_value_error.new
tam-action_erase_security_data-min,tamper.action_erase_security_data,0,int32_value,nil
tam-action_erase_security_data-max,tamper.action_erase_security_data,1,int32_value,nil
tam-action_erase_security_data-upper,tamper.action_erase_security_data,2,int32_value,Config_invalid_value_error.new
tam-action_erase_security_data-neg,tamper.action_erase_security_data,-1,int32_value,Config_invalid_value_error.new
tam-alarm_interval-min,tamper.alarm_interval,0,int32_value,nil
tam-alarm_interval-mid,tamper.alarm_interval,1500,int32_value,nil
tam-alarm_interval-max,tamper.alarm_interval,3000,int32_value,nil
tam-alarm_interval-upper,tamper.alarm_interval,3001,int32_value,Config_invalid_value_error.new
tam-alarm_interval-neg,tamper.alarm_interval,-1,int32_value,Config_invalid_value_error.new
