label,param_name,param_val,value_type,exp_err
term_info-desc_name-number,terminal_information.desc_name,1,UTF8string_value,nil
term_info-desc_name-single char,terminal_information.desc_name,a,UTF8string_value,nil
term_info-desc_name-space,terminal_information.desc_name,a a,UTF8string_value,Config_invalid_value_error.new
term_info-desc_name-special char,terminal_information.desc_name,Test String!,UTF8string_value,Config_invalid_value_error.new
term_info-desc_name-mix,terminal_information.desc_name,123aSdf456,UTF8string_value,nil
term_info-desc_name-max,terminal_information.desc_name,MORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0ACcessMORPHO0AC1,UTF8string_value,nil
term_info-desc_name-blank,terminal_information.desc_name,"",UTF8string_value,nil
term_info-desc_name-garbage,terminal_information.desc_name,MA-1000$%&*MA100@0,UTF8string_value,Config_invalid_value_error.new
term_info-desc_name-long,terminal_information.desc_name,"Veryy veryyy lonnnnng device descrIPtion Name, with special characters like new line
asdftest
teset",UTF8string_value,Config_invalid_value_error.new
term_info-desc_name-upper,terminal_information.desc_name,MORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCESSMORPHO_ACCC,UTF8string_value,Config_invalid_value_error.new
