label,param_name,param_val,value_type,exp_err
wgn-ext_port_input_format-min,wiegand.external_port_input_format,0,int32_value,nil
wgn-ext_port_input_format-mid,wiegand.external_port_input_format,10,int32_value,nil
wgn-ext_port_input_format-max,wiegand.external_port_input_format,17,int32_value,nil
wgn-ext_port_input_format-upper-min,wiegand.external_port_input_format,7,int32_value,Config_invalid_value_error.new
wgn-ext_port_input_format-upper-mid,wiegand.external_port_input_format,9,int32_value,Config_invalid_value_error.new
wgn-ext_port_input_format-upper-max,wiegand.external_port_input_format,18,int32_value,Config_invalid_value_error.new
wgn-ext_port_input_format-neg,wiegand.external_port_input_format,-1,int32_value,Config_invalid_value_error.new
wgn-prox_port_input_format-min,wiegand.prox_port_input_format,0,int32_value,nil
wgn-prox_port_input_format-mid,wiegand.prox_port_input_format,10,int32_value,nil
wgn-prox_port_input_format-max,wiegand.prox_port_input_format,17,int32_value,nil
wgn-prox_port_input_format-upper-min,wiegand.prox_port_input_format,7,int32_value,Config_invalid_value_error.new
wgn-prox_port_input_format-upper-mid,wiegand.prox_port_input_format,9,int32_value,Config_invalid_value_error.new
wgn-prox_port_input_format-upper-max,wiegand.prox_port_input_format,18,int32_value,Config_invalid_value_error.new
wgn-prox_port_input_format-neg,wiegand.prox_port_input_format,-1,int32_value,Config_invalid_value_error.new
wgn-pulse_width-min,wiegand.pulse_width,20,int32_value,nil
wgn-pulse_width-mid,wiegand.pulse_width,60,int32_value,nil
wgn-pulse_width-max,wiegand.pulse_width,100,int32_value,nil
wgn-pulse_width-high-upper,wiegand.pulse_width,101,int32_value,Config_invalid_value_error.new
wgn-pulse_width-low-upper,wiegand.pulse_width,19,int32_value,Config_invalid_value_error.new
wgn-pulse_width-zero,wiegand.pulse_width,0,int32_value,Config_invalid_value_error.new
wgn-pulse_width-neg,wiegand.pulse_width,-1,int32_value,Config_invalid_value_error.new
wgn-pulse_interval-min,wiegand.pulse_interval,200,int32_value,nil
wgn-pulse_interval-mid,wiegand.pulse_interval,1100,int32_value,nil
wgn-pulse_interval-max,wiegand.pulse_interval,20000,int32_value,nil
wgn-pulse_interval-high-upper,wiegand.pulse_interval,20001,int32_value,Config_invalid_value_error.new
wgn-pulse_interval-low-upper,wiegand.pulse_interval,199,int32_value,Config_invalid_value_error.new
wgn-pulse_interval-zero,wiegand.pulse_interval,0,int32_value,Config_invalid_value_error.new
wgn-pulse_interval-neg,wiegand.pulse_interval,-1,int32_value,Config_invalid_value_error.new
wgn-event_dur_finger-zero,wiegand.event_duress_finger,0,int32_value,nil
wgn-event_dur_finger-mid,wiegand.event_duress_finger,10,int32_value,nil
wgn-event_dur_finger-max,wiegand.event_duress_finger,17,int32_value,nil
wgn-event_dur_finger-upper_min,wiegand.event_duress_finger,2,int32_value,Config_invalid_value_error.new
wgn-event_dur_finger-upper_mid,wiegand.event_duress_finger,9,int32_value,Config_invalid_value_error.new
wgn-event_dur_finger-upper_max,wiegand.event_duress_finger,18,int32_value,Config_invalid_value_error.new
wgn-event_dur_finger-neg_invalid,wiegand.event_duress_finger,-1,int32_value,Config_invalid_value_error.new
wgn-evnt_ver_pass-min,wiegand.event_verify_pass,-1,int32_value,nil
wgn-evnt_ver_pass-zero,wiegand.event_verify_pass,0,int32_value,nil
wgn-evnt_ver_pass-mid,wiegand.event_verify_pass,10,int32_value,nil
wgn-evnt_ver_pass-max,wiegand.event_verify_pass,17,int32_value,nil
wgn-evnt_ver_pass-upper_min,wiegand.event_verify_pass,7,int32_value,Config_invalid_value_error.new
wgn-evnt_ver_pass-upper_mid,wiegand.event_verify_pass,9,int32_value,Config_invalid_value_error.new
wgn-evnt_ver_pass-upper_max,wiegand.event_verify_pass,18,int32_value,Config_invalid_value_error.new
wgn-evnt_ver_pass-neg_invalid,wiegand.event_verify_pass,-2,int32_value,Config_invalid_value_error.new
wgn-evnt_ver_fail-min,wiegand.event_verify_fail,-1,int32_value,nil
wgn-evnt_ver_fail-zero,wiegand.event_verify_fail,0,int32_value,nil
wgn-evnt_ver_fail-mid,wiegand.event_verify_fail,10,int32_value,nil
wgn-evnt_ver_fail-max,wiegand.event_verify_fail,17,int32_value,nil
wgn-evnt_ver_fail-upper_min,wiegand.event_verify_fail,7,int32_value,Config_invalid_value_error.new
wgn-evnt_ver_fail-upper_mid,wiegand.event_verify_fail,9,int32_value,Config_invalid_value_error.new
wgn-evnt_ver_fail-upper_max,wiegand.event_verify_fail,18,int32_value,Config_invalid_value_error.new
wgn-evnt_ver_fail-neg_invalid,wiegand.event_verify_fail,-2,int32_value,Config_invalid_value_error.new
wgn-event_iden_pass-min,wiegand.event_identify_pass,-1,int32_value,nil
wgn-event_iden_pass-zero,wiegand.event_identify_pass,0,int32_value,nil
wgn-event_iden_pass-mid,wiegand.event_identify_pass,10,int32_value,nil
wgn-event_iden_pass-max,wiegand.event_identify_pass,17,int32_value,nil
