SrNo,TestLinkId,TestScriptName,TestMethodName
1,11177,l1_comm,test_comm_bii_add_eth_sec_ipaddress_invalid_add_101_ip_addresses
2,11178,l1_comm,test_comm_bii_add_eth_sec_ipaddress_invalid_existing_ip_address
3,11179,l1_comm,test_comm_bii_add_eth_sec_ipaddress_invalid_ip_address
4,11180,l1_comm,test_comm_bii_add_eth_sec_ipaddress_valid_ip_address
5,11181,l1_comm,test_comm_bii_add_eth_sec_iprange_invalid_add_101_ip_ranges
6,11182,l1_comm,test_comm_bii_add_eth_sec_iprange_invalid_existing_ip_range
7,11183,l1_comm,test_comm_bii_add_eth_sec_iprange_invalid_ip_address
8,11184,l1_comm,test_comm_bii_add_eth_sec_iprange_invalid_ip_range
9,11185,l1_comm,test_comm_bii_add_eth_sec_iprange_valid_ip_address_range
10,11186,l1_comm,test_comm_bii_del_eth_sec_ipaddress_invalid_ip_address
11,11187,l1_comm,test_comm_bii_del_eth_sec_ipaddress_invalid_ip_does_not_exist
12,11188,l1_comm,test_comm_bii_del_eth_sec_ipaddress_valid
13,11189,l1_comm,test_comm_bii_del_eth_sec_iprange_invalid_ip_address
14,11190,l1_comm,test_comm_bii_del_eth_sec_iprange_invalid_ip_does_not_exist
15,11191,l1_comm,test_comm_bii_del_eth_sec_iprange_valid
16,11192,l1_comm,test_comm_bii_delete_all_eth_sec_ipaddlist_valid
17,11193,l1_comm,test_comm_bii_delete_all_eth_sec_ipaddlist_valid_two_times
18,11194,l1_comm,test_comm_bii_delete_all_eth_sec_iprangelist_valid
19,11195,l1_comm,test_comm_bii_delete_all_eth_sec_iprangelist_valid_two_times
20,11196,l1_comm,test_comm_bii_get_eth_sec_iplist_invalid_type
21,11197,l1_comm,test_comm_bii_get_eth_sec_iplist_valid_iplist
22,11198,l1_comm,test_comm_bii_get_eth_sec_iplist_valid_iprange
23,11199,l1_comm,test_comm_bii_get_eth_sec_iplist_valid_max_ip_addresses
24,11200,l1_comm,test_comm_bii_get_eth_sec_iplist_valid_max_iprange
25,11201,l1_comm,test_comm_bii_get_eth_sec_iplist_valid_no_ipaddress
26,11202,l1_comm,test_comm_bii_get_eth_sec_iplist_valid_no_iprange
27,11203,l1_comm,test_comm_bii_get_input_port_valid
28,11204,l1_comm,test_comm_bii_get_ip_address_valid
29,11205,l1_comm,test_comm_bii_get_ip_address_id_valid_current_ip
30,11206,l1_comm,test_comm_bii_get_netid_valid_id
31,11207,l1_comm,test_comm_bii_get_nw_mac_addr_invalid_interface
32,11208,l1_comm,test_comm_bii_get_nw_mac_addr_valid_wired
33,11209,l1_comm,test_comm_bii_get_port_over_ethernet
34,11210,l1_comm,test_comm_bii_get_port_over_rs485
35,11211,l1_comm,test_comm_bii_get_port_param_invalid_port
36,11212,l1_comm,test_comm_bii_get_port_param_valid_port_current
37,11213,l1_comm,test_comm_bii_get_port_param_valid_port_rs485
38,11214,l1_comm,test_comm_bii_get_ssl_connection_mode_valid
39,11215,l1_comm,test_comm_bii_get_verify_port_valid
40,11216,l1_comm,test_comm_bii_pending_few_pending_command
41,11217,l1_comm,test_comm_bii_pending_max_pending_command
